Repository,Language,Files,Blank,Comment,Code
OmdenaAI/omdena-srilanka-tea-quality,C/C++ Header,1,0,0,1
OmdenaAI/omdena-srilanka-tea-quality,CSS,2,28,8,179
OmdenaAI/omdena-srilanka-tea-quality,DOS Batch,2,31,2,89
OmdenaAI/omdena-srilanka-tea-quality,Dart,16,166,32,1160
OmdenaAI/omdena-srilanka-tea-quality,Dockerfile,1,6,10,9
OmdenaAI/omdena-srilanka-tea-quality,Gradle,6,36,8,148
OmdenaAI/omdena-srilanka-tea-quality,HTML,7,77,14,307
OmdenaAI/omdena-srilanka-tea-quality,JSON,4,0,0,181
OmdenaAI/omdena-srilanka-tea-quality,Java,4,51,29,265
OmdenaAI/omdena-srilanka-tea-quality,JavaScript,3,22,25,193
OmdenaAI/omdena-srilanka-tea-quality,Jupyter Notebook,14,0,3351,2703
OmdenaAI/omdena-srilanka-tea-quality,Kotlin,1,2,0,4
OmdenaAI/omdena-srilanka-tea-quality,Markdown,20,83,0,289
OmdenaAI/omdena-srilanka-tea-quality,ProGuard,1,3,18,0
OmdenaAI/omdena-srilanka-tea-quality,Properties,4,0,18,16
OmdenaAI/omdena-srilanka-tea-quality,Python,47,1171,891,4112
OmdenaAI/omdena-srilanka-tea-quality,Swift,1,1,0,12
OmdenaAI/omdena-srilanka-tea-quality,Text,10,7,0,262
OmdenaAI/omdena-srilanka-tea-quality,XML,34,17,56,1674
OmdenaAI/omdena-srilanka-tea-quality,YAML,15,93,132,480
OmdenaAI/omdena-texas-homelessness,CSV,62,11,0,186193
OmdenaAI/omdena-texas-homelessness,HTML,5,340,0,192346
OmdenaAI/omdena-texas-homelessness,Jupyter Notebook,54,0,243098,24643
OmdenaAI/omdena-texas-homelessness,Markdown,35,178,0,681
OmdenaAI/omdena-texas-homelessness,Python,15,147,71,848
OmdenaAI/omdena-texas-homelessness,R,1,73,9,23
OmdenaAI/omdena-texas-homelessness,Text,1,0,0,14
mohitmishra786/miniPerceptron,C,2,92,9,405
mohitmishra786/miniPerceptron,Markdown,1,18,0,82
mohitmishra786/UnderTheHood,HTML,1,59,2,684
mohitmishra786/UnderTheHood,Markdown,2,27,0,120
OmdenaAI/HOTOSM-Street-Level,CSV,1,0,0,801
OmdenaAI/HOTOSM-Street-Level,JSON,3,0,0,90
OmdenaAI/HOTOSM-Street-Level,Jupyter Notebook,9,0,1660,2217
OmdenaAI/HOTOSM-Street-Level,Markdown,4,68,0,170
OmdenaAI/HOTOSM-Street-Level,Python,15,356,389,1297
OmdenaAI/HOTOSM-Street-Level,TOML,1,1,0,20
OmdenaAI/HOTOSM-Street-Level,XML,3,0,0,3
OmdenaAI/HOTOSM-Street-Level,YAML,1,4,2,38
mohitmishra786/Deep-Learning-Papers-Reading-Roadmap,Markdown,1,175,0,172
mohitmishra786/Deep-Learning-Papers-Reading-Roadmap,Python,1,20,1,114
mohitmishra786/Deep-Learning-Papers-Reading-Roadmap,Text,1,0,0,3
mohitmishra786/Data-Science--Cheat-Sheet,Markdown,1,48,0,29
mohitmishra786/hacktoberfest-2022,C,3,12,16,74
mohitmishra786/hacktoberfest-2022,C++,104,839,493,4149
mohitmishra786/hacktoberfest-2022,CSS,5,13,32,1253
mohitmishra786/hacktoberfest-2022,CSV,1,0,0,1339
mohitmishra786/hacktoberfest-2022,HTML,6,38,69,1599
mohitmishra786/hacktoberfest-2022,Java,10,92,29,371
mohitmishra786/hacktoberfest-2022,JavaScript,4,25,10,86
mohitmishra786/hacktoberfest-2022,Jupyter Notebook,7,0,4360,1252
mohitmishra786/hacktoberfest-2022,Markdown,8,40,1,106
